index,com_id,post_name,post_id,comnum,time_since_original_post,comp_sent_score,pos_sent_score,neg_sent_score,neu_sent_score,comment_date_utime,Company,post_date_utime,image_set,video,Media_Types,Edges,Luminosity,Number_of_Colors,standardized_time_since_post,BK,Converse,Jordan,LG,McDonalds,Nike,Samsung,Sony,Subway,Text_Image,continuous_thematic_episodic_5,C_Thematic,C_Episodic,making_continuous,C_Number_of_Colors,C_Luminosity,C_Edges,C_cont_no_col,ind_id,weekend,com_weekend,am_pm_quant,utime_convert,post_time_day,post_time_bin,cumulative_comp_score,stand_cumsum,commenter_cumsum,commenter_stand_cumsum,comment_cumsum_sent,stand_comment_cumsum_sent,stand_edges,post_lag_comment,ind_lag_comment,stand_comnum,comnum,scaled_prior_ind_sentiment,abs_comp_sent_score,cont_frame
35,1647,I_BK12,7,20,251711,0,0,0,1,1529001075,Burger_King,1528749364,1,0,Image,0.033580056,0.730738216,7,0.004404064,1,0,0,0,0,0,0,0,0,0,0,0.549263911,0.482797766,0.532200665,1.607134682,0.26626737,-0.018386616,0.851382168,13841,0,0,0,43262.56667,0.566712963,4,12.486,-0.154163271,0,-0.153417912,12.486,-0.154163271,-0.542251997,0,0,-0.285003509,195,-0.975144473,0,1
36,1648,I_BK12,7,21,251345,0.6981,0.443,0,0.557,1529000709,Burger_King,1528749364,1,0,Image,0.033580056,0.730738216,7,0.00439766,1,0,0,0,0,0,0,0,0,0,0,0.549263911,0.482797766,0.532200665,1.607134682,0.26626737,-0.018386616,0.851382168,6302,0,0,0,43262.56667,0.566712963,4,13.1841,-0.141235497,0.6981,-0.149604714,13.1841,-0.141235497,-0.542251997,0,0,-0.283246091,196,-0.974515614,69.81,1
37,1649,I_BK12,7,22,250832,0.4404,0.744,0,0.256,1529000196,Burger_King,1528749364,1,0,Image,0.033580056,0.730738216,7,0.004388685,1,0,0,0,0,0,0,0,0,0,0,0.549263911,0.482797766,0.532200665,1.607134682,0.26626737,-0.018386616,0.851382168,30525,0,0,0,43262.56667,0.566712963,4,13.6245,-0.133079944,0.4404,-0.151012336,13.6245,-0.133079944,-0.542251997,0.6981,0,-0.281488672,197,-0.974747754,44.04,1
38,1650,I_BK12,7,23,250287,0,0,0,1,1528999651,Burger_King,1528749364,1,0,Image,0.033580056,0.730738216,7,0.004379149,1,0,0,0,0,0,0,0,0,0,0,0.549263911,0.482797766,0.532200665,1.607134682,0.26626737,-0.018386616,0.851382168,48322,0,0,0,43262.56667,0.566712963,4,13.6245,-0.133079944,0,-0.153417912,13.6245,-0.133079944,-0.542251997,0.4404,0,-0.279731254,198,-0.975144473,0,1
39,1651,I_BK12,7,24,249607,0,0,0,1,1528998971,Burger_King,1528749364,1,0,Image,0.033580056,0.730738216,7,0.004367251,1,0,0,0,0,0,0,0,0,0,0,0.549263911,0.482797766,0.532200665,1.607134682,0.26626737,-0.018386616,0.851382168,9705,0,0,0,43262.56667,0.566712963,4,13.6245,-0.133079944,0,-0.153417912,13.6245,-0.133079944,-0.542251997,0,0,-0.277973836,199,-0.975144473,0,1
40,1652,I_BK12,7,25,247344,0,0,0,1,1528996708,Burger_King,1528749364,1,0,Image,0.033580056,0.730738216,7,0.004327657,1,0,0,0,0,0,0,0,0,0,0,0.549263911,0.482797766,0.532200665,1.607134682,0.26626737,-0.018386616,0.851382168,80760,0,0,0,43262.56667,0.566712963,4,13.6245,-0.133079944,0,-0.153417912,13.6245,-0.133079944,-0.542251997,0,0,-0.276216418,200,-0.975144473,0,1
41,1653,I_BK12,7,26,247199,-0.9081,0.061,0.362,0.577,1528996563,Burger_King,1528749364,1,0,Image,0.033580056,0.730738216,7,0.00432512,1,0,0,0,0,0,0,0,0,0,0,0.549263911,0.482797766,0.532200665,1.607134682,0.26626737,-0.018386616,0.851382168,17401,0,0,0,43262.56667,0.566712963,4,12.7164,-0.149896606,-0.9081,-0.158378182,12.7164,-0.149896606,-0.542251997,0,0,-0.274458999,201,-0.975962502,90.81,1
42,6298,I_BK2,15,1,16814326,0,0,0,1,1551934327,Burger_King,1535120001,1,0,Text_Image,0.058231807,0.660475111,7,0.29419203,1,0,0,0,0,0,0,0,0,1,0.596573314,0.53295096,0.665226025,0.444801533,1.607134682,0.196004265,0.006265135,-0.14086371,79401,0,0,1,43336.30069,0.3009375,2,0,-0.385385429,0,-0.153417912,0,-0.385385429,0.122570975,0,0,-0.627700072,0,-0.975144473,0,0.25209868
43,6299,I_BK2,15,2,13224966,0,0,0,1,1548344967,Burger_King,1535120001,1,0,Text_Image,0.058231807,0.660475111,7,0.231390755,1,0,0,0,0,0,0,0,0,1,0.596573314,0.53295096,0.665226025,0.444801533,1.607134682,0.196004265,0.006265135,-0.14086371,43830,0,0,1,43336.30069,0.3009375,2,0,-0.385385429,0,-0.153417912,0,-0.385385429,0.122570975,0,0,-0.625942653,1,-0.975144473,0,0.25209868
44,6300,I_BK2,15,3,5635488,0,0,0,1,1540755489,Burger_King,1535120001,1,0,Text_Image,0.058231807,0.660475111,7,0.098601374,1,0,0,0,0,0,0,0,0,1,0.596573314,0.53295096,0.665226025,0.444801533,1.607134682,0.196004265,0.006265135,-0.14086371,3438,0,1,1,43336.30069,0.3009375,2,0,-0.385385429,0,-0.153417912,0,-0.385385429,0.122570975,0,0,-0.624185235,2,-0.975144473,0,0.25209868
